District,Representative,Party,Prior experience,Education,Assumed Office,Born In,
Indiana 1,"Pete Visclosky, Official Portrait, 112th Congress.jpg Pete Visclosky",,Democratic,"Attorney, Congressional aide",Indiana University Northwest,,
University of Notre Dame,,,,,,,
Georgetown University,1985,1949,,,,,
Indiana 2,"Jackie Walorski, official portrait, 113th Congress.jpg Jackie Walorski",,Republican,Indiana House of Representatives,Liberty Baptist College,,
Taylor University,2013,1963,,,,,
Indiana 3,Marlin113.jpg Marlin Stutzman,,Republican,"Indiana Senate, Indiana House of Representatives",Glen Oaks Community College,,
Trine University,2010*,1976,,,,,
Indiana 4,"Todd Rokita, Official Portrait, 112th Congress.jpg Todd Rokita",,Republican,Indiana Secretary of State,Wabash College,,
Indiana University Robert H. McKinney School of Law,2011,1970,,,,,
Indiana 5,"Susan Brooks, official portrait, 113th Congress.jpg Susan Brooks",,Republican,"U.S. Attorney for Southern Indiana, Deputy Mayor of Indianapolis",Miami University of Ohio,,
Indiana University Robert H. McKinney School of Law,2013,1960,,,,,
Indiana 6,Luke Messer official portrait.jpg Luke Messer,,Republican,Indiana House of Representatives,Wabash College,,
Vanderbilt University Law School,2013,1969,,,,,
Indiana 7,Andre Carson 2009.jpg André Carson,,Democratic,Indianapolis City-County Council,Concordia University Wisconsin,,
Indiana Wesleyan University,2008*,1974,,,,,
Indiana 8,Larry Bucshon official congressional photo.jpg Larry Bucshon,,Republican,Heart Surgeon,University of Illinois at Urbana-Champaign,,
University of Illinois Medical School,2011,1962,,,,,
Indiana 9,"Todd Young, Official Portrait, 112th Congress.jpg Todd Young",,Republican,"Deputy Prosecutor for Orange County, Indiana, President of the Orange County, Indiana Bar Association",United States Naval Academy,,
University of Chicago,,,,,,,
University of London,,,,,,,
Indiana University,2011,1972,,,,,
Iowa 1,Rod Blum official congressional photo.jpg Rod Blum,,Republican,Businessman,Loras College,,
University of Dubuque,2015,1955,,,,,
Iowa 2,Loebsack Formal Headshot.JPG Dave Loebsack,,Democratic,Professor,Iowa State University,2007,1952
Iowa 3,David Young official congressional photo.jpg David Young,,Republican,Congressional aide,Drake University,2015,1968
Iowa 4,Steve King Official.jpg Steve King,,Republican,Iowa Senate,Northwest Missouri State University,2003,1949
Kansas 1,Tim Huelskamp.jpg Tim Huelskamp,,Republican,Kansas Senate,College of Santa Fe,,
American University,2011,1968,,,,,
Kansas 2,"Lynn Jenkins, official portrait, 113th Congress.jpg Lynn Jenkins",,Republican,"Kansas State Treasurer, Kansas Senate, Kansas House of Representatives",Kansas State University,,
Weber State College,2009,1963,,,,,
Kansas 3,KYmemberportrait.jpg Kevin Yoder,,Republican,Kansas House of Representatives,University of Kansas,,
University of Kansas Law School,2011,1976,,,,,
Kansas 4,Mike Pompeo Official Portrait 112th Congress.jpg Mike Pompeo,,Republican,Attorney,U.S. Military Academy,,
Harvard Law School,2011,1963,,,,,
Kentucky 1,James Comer by Gage Skidmore.jpg James Comer,,Republican,"Kentucky House of Representatives, Agriculture Commissioner of Kentucky",Western Kentucky University,2016,1972
Kentucky 2,"Brett Guthrie, Official Photo.jpg Brett Guthrie",,Republican,Kentucky Senate,United States Military Academy,,
Yale University,2009,1964,,,,,
Kentucky 3,Official Congressional Photo of John Yarmuth.jpg John Yarmuth,,Democratic,"Newspaper Publisher, Vice-President for University Relations University of Louisville",Yale University,2007,1947
Kentucky 4,"Thomas Massie, official portrait, 112th Congress 2.JPG Thomas Massie",,Republican,"Judge-Executive of Lewis County, Kentucky",Massachusetts Institute of Technology,2012*,1971
Kentucky 5,Hal Rogers Official Photo 2010.JPG Hal Rogers,,Republican,"Commonwealth's Attorney for Pulaski and Rockcastle County, Kentucky",University of Kentucky,1981,1937
Kentucky 6,Andy Barr official congressional photo.jpg Andy Barr,,Republican,Attorney,University of Virginia,,
University of Kentucky College of Law,2013,1973,,,,,
Louisiana 1,Steve Scalise.jpg Steve Scalise,,Republican,Current House Majority Whip,,,
"Louisiana State Senate, Louisiana House of Representatives",Louisiana State University,2008,1965,,,,
Louisiana 2,Cedric.jpg Cedric Richmond,,Democratic,Louisiana House of Representatives,Morehouse College,,
Tulane School of Law,2011,1973,,,,,
Louisiana 3,Rep. Charles Boustany.jpg Charles Boustany,,Republican,Heart surgeon,University of Southwestern Louisiana,,
Louisiana State University,2005,1956,,,,,
Louisiana 4,John flemming.jpg John Fleming,,Republican,"Webster Parish, Louisiana Coroner, Businessman, physician",University of Mississippi,2009,1951
Louisiana 5,Ralph Abraham official congressional photo.jpg Ralph Abraham,,Republican,Physician,Louisiana State University,,
Louisiana State University School of Medicine,2015,1954,,,,,
