Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,BelieveClimateChange,Quote,QuoteSource,QuoteURL
H. Morgan Griffith,15-Mar-58,15-Dec-16,58,M,1108 Longworth HOB; Washington DC 20515-4609,https://morgangriffith.house.gov/contact/contactform.htm,http://morgangriffith.house.gov,202-225-3861,Republican,5-Jan-11,3-Jan-17,5,52,VA,Virginia,10,1108 Longworth House Office Building,rep,,,,
Hakeem S. Jeffries,4-Aug-70,15-Dec-16,46,M,1607 Longworth HOB; Washington DC 20515-3208,https://jeffriesforms.house.gov/contact/,http://jeffries.house.gov,202-225-5936,Democrat,3-Jan-13,3-Jan-17,3,42,NY,New York,9,1607 Longworth House Office Building,rep,Yes,,,
Harold Rogers,31-Dec-37,15-Dec-16,78,M,2406 Rayburn HOB; Washington DC 20515-1705,https://halrogers.house.gov/contact/contactform.htm,http://halrogers.house.gov,202-225-4601,Republican,5-Jan-81,3-Jan-17,35,43,KY,Kentucky,6,2406 Rayburn House Office Building,rep,,,,
Harry Reid,2-Dec-39,15-Dec-16,77,M,522 Hart Senate Office Building Washington DC 20510,http://www.reid.senate.gov/contact,http://www.reid.senate.gov,202-224-3542,Democrat,3-Jan-83,3-Jan-17,33,43,NV,Nevada,,522 Hart Senate Office Building,sen,Yes,,,
Heidi Heitkamp,30-Oct-55,15-Dec-16,61,F,110 Hart Senate Office Building Washington DC 20510,http://www.heitkamp.senate.gov/public/index.cfm/email-heidi,http://www.heitkamp.senate.gov,202-224-2043,Democrat,3-Jan-13,3-Jan-19,3,57,ND,North Dakota,,110 Hart Senate Office Building,sen,Yes,,,
"Henry C. ""Hank"" Johnson Jr.",2-Oct-54,15-Dec-16,62,M,2240 Rayburn HOB; Washington DC 20515-1004,https://hankjohnson.house.gov/contact-me/email-me,http://hankjohnson.house.gov,202-225-1605,Democrat,4-Jan-07,3-Jan-17,9,52,GA,Georgia,5,2240 Rayburn House Office Building,rep,Yes,,,
Henry Cuellar,19-Sep-55,15-Dec-16,61,M,2209 Rayburn HOB; Washington DC 20515-4328,https://cuellar.house.gov/forms/writeyourrep/default.aspx,http://cuellar.house.gov,202-225-1640,Democrat,4-Jan-05,3-Jan-17,11,49,TX,Texas,29,2209 Rayburn House Office Building,rep,Yes,,,
Ileana Ros-Lehtinen,15-Jul-52,15-Dec-16,64,F,2206 Rayburn HOB; Washington DC 20515-0927,https://ros-lehtinen.house.gov/contact-me/email-me,http://ros-lehtinen.house.gov,202-225-3931,Republican,3-Jan-89,3-Jan-17,27,36,FL,Florida,28,2206 Rayburn House Office Building,rep,,,,
J. French Hill,5-Dec-56,15-Dec-16,60,M,1229 Longworth HOB; Washington DC 20515-0402,,https://hill.house.gov,202-225-2506,Republican,6-Jan-15,3-Jan-17,1,58,AR,Arkansas,3,1229 Longworth House Office Building,rep,,,,
J. Randy Forbes,17-Feb-52,15-Dec-16,64,M,2135 Rayburn HOB; Washington DC 20515-4604,https://forbes.house.gov/contact/contactform.htm,http://forbes.house.gov,202-225-6365,Republican,26-Jun-01,3-Jan-17,15,49,VA,Virginia,5,2135 Rayburn House Office Building,rep,,,,
Jack Reed,12-Nov-49,15-Dec-16,67,M,728 Hart Senate Office Building Washington DC 20510,http://www.reed.senate.gov/contact/,https://www.reed.senate.gov,202-224-4642,Democrat,3-Jan-91,3-Jan-21,25,41,RI,Rhode Island,,728 Hart Senate Office Building,sen,Yes,,,
Jackie Speier,14-May-50,15-Dec-16,66,F,2465 Rayburn HOB; Washington DC 20515-0514,https://forms.house.gov/speier/webforms/email_jackie.shtml,http://speier.house.gov,202-225-3531,Democrat,8-Apr-08,3-Jan-17,8,57,CA,California,15,2465 Rayburn House Office Building,rep,Yes,,,
Jackie Walorski,17-Aug-63,15-Dec-16,53,F,419 Cannon HOB; Washington DC 20515-1402,https://walorski.house.gov/contact/email-me,http://walorski.house.gov,202-225-3915,Republican,3-Jan-13,3-Jan-17,3,49,IN,Indiana,3,419 Cannon House Office Building,rep,,,,
Jaime Herrera Beutler,3-Nov-78,15-Dec-16,38,F,1130 Longworth HOB; Washington DC 20515-4703,http://herrerabeutler.house.gov/contact/,http://herrerabeutler.house.gov,202-225-3536,Republican,5-Jan-11,3-Jan-17,5,32,WA,Washington,4,1130 Longworth House Office Building,rep,,,,
James A. Himes,5-Jul-66,15-Dec-16,50,M,1227 Longworth HOB; Washington DC 20515-0704,https://himes.house.gov/contact-me/email-me,http://himes.house.gov,202-225-5541,Democrat,6-Jan-09,3-Jan-17,7,42,CT,Connecticut,5,1227 Longworth House Office Building,rep,Yes,,,
James B. Renacci,3-Dec-58,15-Dec-16,58,M,328 Cannon HOB; Washington DC 20515-3516,https://renacci.house.gov/index.cfm/contact-form,https://renacci.house.gov,202-225-3876,Republican,5-Jan-11,3-Jan-17,5,52,OH,Ohio,17,328 Cannon House Office Building,rep,,,,
James Comer,19-Aug-72,15-Dec-16,44,M,2184 Rayburn HOB; Washington DC 20515-1701,https://comer.house.gov/contact/email,https://comer.house.gov/,202-225-3115,Republican,14-Nov-16,3-Jan-17,0,44,KY,Kentucky,2,2184 Rayburn House Office Building,rep,,,,
James E. Clyburn,21-Jul-40,15-Dec-16,76,M,242 Cannon HOB; Washington DC 20515-4006,https://clyburn.house.gov/contact-me/email-me,http://clyburn.house.gov,202-225-3315,Democrat,5-Jan-93,3-Jan-17,23,52,SC,South Carolina,7,242 Cannon House Office Building,rep,Yes,,,
James E. Risch,3-May-43,15-Dec-16,73,M,483 Russell Senate Office Building Washington DC 20510,http://www.risch.senate.gov/public/index.cfm?p=Email,http://www.risch.senate.gov,202-224-2752,Republican,6-Jan-09,3-Jan-21,7,65,ID,Idaho,,483 Russell Senate Office Building,sen,,,,
James Lankford,4-Mar-68,15-Dec-16,48,M,316 Hart Senate Office Building Washington DC 20510,https://lankford.house.gov/contact-me/,http://www.lankford.senate.gov,202-224-5754,Republican,5-Jan-11,3-Jan-17,5,42,OK,Oklahoma,,316 Hart Senate Office Building,sen,,,,
James M. Inhofe,17-Nov-34,15-Dec-16,82,M,205 Russell Senate Office Building Washington DC 20510,http://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov,202-224-4721,Republican,6-Jan-87,3-Jan-21,29,52,OK,Oklahoma,,205 Russell Senate Office Building,sen,,,,
James P. McGovern,20-Nov-59,15-Dec-16,57,M,438 Cannon HOB; Washington DC 20515-2102,https://mcgovern.house.gov/contact/email-me,http://mcgovern.house.gov,202-225-6101,Democrat,7-Jan-97,3-Jan-17,19,37,MA,Massachusetts,3,438 Cannon House Office Building,rep,Yes,,,
James R. Langevin,22-Apr-64,15-Dec-16,52,M,2077 Rayburn HOB; Washington DC 20515-3902,https://langevin.house.gov/contact-me/email-me,http://langevin.house.gov,202-225-2735,Democrat,3-Jan-01,3-Jan-17,15,36,RI,Rhode Island,3,2077 Rayburn House Office Building,rep,Yes,,,
Janice D. Schakowsky,26-May-44,15-Dec-16,72,F,2367 Rayburn HOB; Washington DC 20515-1309,https://schakowsky.house.gov/write-to-congresswoman-jan-schakowsky,http://schakowsky.house.gov,202-225-2111,Democrat,6-Jan-99,3-Jan-17,17,54,IL,Illinois,10,2367 Rayburn House Office Building,rep,Yes,,,
Jared Huffman,18-Feb-64,15-Dec-16,52,M,1630 Longworth HOB; Washington DC 20515-0502,https://huffman.house.gov/contact/email-me,http://huffman.house.gov,202-225-5161,Democrat,3-Jan-13,3-Jan-17,3,48,CA,California,3,1630 Longworth House Office Building,rep,Yes,,,
Jared Polis,12-May-75,15-Dec-16,41,M,1433 Longworth HOB; Washington DC 20515-0602,https://polis.house.gov/forms/writeyourrep/default.aspx,http://polis.house.gov,202-225-2161,Democrat,6-Jan-09,3-Jan-17,7,33,CO,Colorado,3,1433 Longworth House Office Building,rep,Yes,,,
Jason Chaffetz,26-Mar-67,15-Dec-16,49,M,2236 Rayburn HOB; Washington DC 20515-4403,https://chaffetz.house.gov/contact-me/email-me,http://chaffetz.house.gov,202-225-7751,Republican,6-Jan-09,3-Jan-17,7,41,UT,Utah,4,2236 Rayburn House Office Building,rep,,,,
Jason Smith,16-Jun-80,15-Dec-16,36,M,1118 Longworth HOB; Washington DC 20515-2508,https://jasonsmith.house.gov/contact/email-me,http://jasonsmith.house.gov,202-225-4404,Republican,4-Jun-13,3-Jan-17,3,32,MO,Missouri,9,1118 Longworth House Office Building,rep,,,,
Jeanne Shaheen,28-Jan-47,15-Dec-16,69,F,506 Hart Senate Office Building Washington DC 20510,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov,202-224-2841,Democrat,6-Jan-09,3-Jan-21,7,61,NH,New Hampshire,,506 Hart Senate Office Building,sen,Yes,,,
Jeb Hensarling,29-May-57,15-Dec-16,59,M,2228 Rayburn HOB; Washington DC 20515-4305,https://hensarling.house.gov/contact/email-me,http://hensarling.house.gov,202-225-3484,Republican,7-Jan-03,3-Jan-17,13,45,TX,Texas,6,2228 Rayburn House Office Building,rep,,,,
Jeff Denham,29-Jul-67,15-Dec-16,49,M,1730 Longworth HOB; Washington DC 20515-0510,https://denham.house.gov/contact-me/email-me,http://denham.house.gov,202-225-4540,Republican,5-Jan-11,3-Jan-17,5,43,CA,California,11,1730 Longworth House Office Building,rep,,,,
Jeff Duncan,7-Jan-66,15-Dec-16,50,M,106 Cannon HOB; Washington DC 20515-4003,https://jeffduncan.house.gov/contact-me/email-me,http://jeffduncan.house.gov,202-225-5301,Republican,5-Jan-11,3-Jan-17,5,44,SC,South Carolina,4,106 Cannon House Office Building,rep,,,,
Jeff Flake,31-Dec-62,15-Dec-16,53,M,413 Russell Senate Office Building Washington DC 20510,http://www.flake.senate.gov/contact.cfm,http://www.flake.senate.gov,202-224-4521,Republican,3-Jan-01,3-Jan-19,15,38,AZ,Arizona,,413 Russell Senate Office Building,sen,,,,
Jeff Fortenberry,27-Dec-60,15-Dec-16,55,M,1514 Longworth HOB; Washington DC 20515-2701,https://fortenberry.house.gov/contact-me1,https://fortenberry.house.gov,202-225-4806,Republican,4-Jan-05,3-Jan-17,11,44,NE,Nebraska,2,1514 Longworth House Office Building,rep,,,,
Jeff Merkley,24-Oct-56,15-Dec-16,60,M,313 Hart Senate Office Building Washington DC 20510,http://www.merkley.senate.gov/contact/,https://www.merkley.senate.gov,202-224-3753,Democrat,6-Jan-09,3-Jan-21,7,52,OR,Oregon,,313 Hart Senate Office Building,sen,Yes,,,
Jeff Miller,27-Jun-59,15-Dec-16,57,M,336 Cannon HOB; Washington DC 20515-0901,https://jeffmiller.house.gov/contact/contactform.htm,http://jeffmiller.house.gov,202-225-4136,Republican,23-Oct-01,3-Jan-17,15,42,FL,Florida,2,336 Cannon House Office Building,rep,,,,
Jeff Sessions,24-Dec-46,15-Dec-16,69,M,326 Russell Senate Office Building Washington DC 20510,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov,202-224-4124,Republican,7-Jan-97,3-Jan-21,19,50,AL,Alabama,,326 Russell Senate Office Building,sen,,,,
Jerrold Nadler,13-Jun-47,15-Dec-16,69,M,2109 Rayburn HOB; Washington DC 20515-3210,https://jerroldnadler.house.gov/forms/writeyourrep/default.aspx,http://nadler.house.gov,202-225-5635,Democrat,3-Nov-92,3-Jan-17,24,45,NY,New York,11,2109 Rayburn House Office Building,rep,Yes,,,
Jerry McNerney,18-Jun-51,15-Dec-16,65,M,2265 Rayburn HOB; Washington DC 20515-0509,https://mcnerney.house.gov/contact/email-me,http://mcnerney.house.gov,202-225-1947,Democrat,4-Jan-07,3-Jan-17,9,55,CA,California,10,2265 Rayburn House Office Building,rep,Yes,,,
Jerry Moran,29-May-54,15-Dec-16,62,M,521 Dirksen Senate Office Building Washington DC 20510,http://www.moran.senate.gov/public/index.cfm/e-mail-jerry,http://www.moran.senate.gov,202-224-6521,Republican,7-Jan-97,3-Jan-17,19,42,KS,Kansas,,521 Dirksen Senate Office Building,sen,,,,
Jim Bridenstine,15-Jun-75,15-Dec-16,41,M,216 Cannon HOB; Washington DC 20515-3601,https://bridenstineforms.house.gov/forms/writeyourrep/,http://bridenstine.house.gov,202-225-2211,Republican,3-Jan-13,3-Jan-17,3,37,OK,Oklahoma,2,216 Cannon House Office Building,rep,,,,
Jim Cooper,19-Jun-54,15-Dec-16,62,M,1536 Longworth HOB; Washington DC 20515-4205,https://cooper.house.gov/contact/email-me,http://cooper.house.gov,202-225-4311,Democrat,3-Jan-83,3-Jan-17,33,28,TN,Tennessee,6,1536 Longworth House Office Building,rep,Yes,,,
Jim Costa,13-Apr-52,15-Dec-16,64,M,1314 Longworth HOB; Washington DC 20515-0516,http://www.house.gov/formcosta/issue.htm,https://costa.house.gov,202-225-3341,Democrat,4-Jan-05,3-Jan-17,11,52,CA,California,17,1314 Longworth House Office Building,rep,Yes,,,
Jim Jordan,17-Feb-64,15-Dec-16,52,M,1524 Longworth HOB; Washington DC 20515-3504,http://jordan.house.gov/contact/,http://jordan.house.gov,202-225-2676,Republican,4-Jan-07,3-Jan-17,9,42,OH,Ohio,5,1524 Longworth House Office Building,rep,,,,
Jim McDermott,28-Dec-36,15-Dec-16,79,M,1035 Longworth HOB; Washington DC 20515-4707,https://forms.house.gov/mcdermott/webforms/new/contact.shtml,http://mcdermott.house.gov,202-225-3106,Democrat,3-Jan-89,3-Jan-17,27,52,WA,Washington,8,1035 Longworth House Office Building,rep,Yes,,,
Joaquin Castro,16-Sep-74,15-Dec-16,42,M,212 Cannon HOB; Washington DC 20515-4320,https://castro.house.gov/contact/email-me,http://castro.house.gov,202-225-3236,Democrat,3-Jan-13,3-Jan-17,3,38,TX,Texas,21,212 Cannon House Office Building,rep,Yes,,,
Jody B. Hice,22-Apr-60,15-Dec-16,56,M,1516 Longworth HOB; Washington DC 20515-1010,,https://hice.house.gov,202-225-4101,Republican,6-Jan-15,3-Jan-17,1,54,GA,Georgia,11,1516 Longworth House Office Building,rep,,,,
Joe Barton,15-Sep-49,15-Dec-16,67,M,2107 Rayburn HOB; Washington DC 20515-4306,https://joebarton.house.gov/contact1/,http://joebarton.house.gov,202-225-2002,Republican,3-Jan-85,3-Jan-17,31,35,TX,Texas,7,2107 Rayburn House Office Building,rep,,,,
Joe Courtney,6-Apr-53,15-Dec-16,63,M,2348 Rayburn HOB; Washington DC 20515-0702,https://courtney.house.gov/email-joe1,http://courtney.house.gov,202-225-2076,Democrat,4-Jan-07,3-Jan-17,9,53,CT,Connecticut,3,2348 Rayburn House Office Building,rep,Yes,,,
Joe Donnelly,28-Sep-55,15-Dec-16,61,M,720 Hart Senate Office Building Washington DC 20510,http://www.donnelly.senate.gov/contact/email-joe,http://www.donnelly.senate.gov,202-224-4814,Democrat,4-Jan-07,3-Jan-19,9,51,IN,Indiana,,720 Hart Senate Office Building,sen,Yes,,,
"Joe Manchin, III",24-Aug-47,15-Dec-16,69,M,306 Hart Senate Office Building Washington DC 20510,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov,202-224-3954,Democrat,15-Nov-10,3-Jan-19,6,63,WV,West Virginia,,306 Hart Senate Office Building,sen,Yes,,,
Joe Wilson,31-Jul-47,15-Dec-16,69,M,2229 Rayburn HOB; Washington DC 20515-4002,https://joewilson.house.gov/forms/writeyourrep/default.aspx,http://joewilson.house.gov,202-225-2452,Republican,18-Dec-01,3-Jan-17,14,54,SC,South Carolina,3,2229 Rayburn House Office Building,rep,,,,
John A. Yarmuth,4-Nov-47,15-Dec-16,69,M,403 Cannon HOB; Washington DC 20515-1703,http://yarmuth.house.gov/contact-john2/,http://yarmuth.house.gov,202-225-5401,Democrat,4-Jan-07,3-Jan-17,9,59,KY,Kentucky,4,403 Cannon House Office Building,rep,Yes,,,
John Abney Culberson,24-Aug-56,15-Dec-16,60,M,2372 Rayburn HOB; Washington DC 20515-4307,https://culbersonforms.house.gov/forms/writeyourrep/default.aspx,http://culberson.house.gov,202-225-2571,Republican,3-Jan-01,3-Jan-17,15,44,TX,Texas,8,2372 Rayburn House Office Building,rep,,,,
John B. Larson,22-Jul-48,15-Dec-16,68,M,1501 Longworth HOB; Washington DC 20515-0701,https://forms.house.gov/larson/contact_new.html,http://larson.house.gov,202-225-2265,Democrat,6-Jan-99,3-Jan-17,17,50,CT,Connecticut,2,1501 Longworth House Office Building,rep,Yes,,,
John Barrasso,21-Jul-52,15-Dec-16,64,M,307 Dirksen Senate Office Building Washington DC 20510,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,http://www.barrasso.senate.gov,202-224-6441,Republican,25-Jun-07,3-Jan-19,9,54,WY,Wyoming,,307 Dirksen Senate Office Building,sen,,,,
John Boozman,10-Dec-50,15-Dec-16,66,M,141 Hart Senate Office Building Washington DC 20510,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,http://www.boozman.senate.gov,202-224-4843,Republican,29-Nov-01,3-Jan-17,15,50,AR,Arkansas,,141 Hart Senate Office Building,sen,,,,
John C. Carney Jr.,20-May-56,15-Dec-16,60,M,1406 Longworth HOB; Washington DC 20515-0800,https://forms.house.gov/carney/webforms/email-me.shtml,http://johncarney.house.gov,202-225-4165,Democrat,5-Jan-11,3-Jan-17,5,54,DE,Delaware,1,1406 Longworth House Office Building,rep,Yes,,,
John Conyers Jr.,16-May-29,15-Dec-16,87,M,2426 Rayburn HOB; Washington DC 20515-2213,https://conyers.house.gov/index.cfm/online-contact-form,https://conyers.house.gov,202-225-5126,Democrat,4-Jan-65,3-Jan-17,51,35,MI,Michigan,14,2426 Rayburn House Office Building,rep,Yes,,,
John Cornyn,2-Feb-52,15-Dec-16,64,M,517 Hart Senate Office Building Washington DC 20510,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,https://www.cornyn.senate.gov,202-224-2934,Republican,1-Jan-02,3-Jan-21,14,49,TX,Texas,,517 Hart Senate Office Building,sen,,,,
John Fleming,5-Jul-51,15-Dec-16,65,M,2182 Rayburn HOB; Washington DC 20515-1804,https://fleming.house.gov/contact/contactform.htm,http://fleming.house.gov,202-225-2777,Republican,6-Jan-09,3-Jan-17,7,57,LA,Louisiana,5,2182 Rayburn House Office Building,rep,,,,
John Garamendi,24-Jan-45,15-Dec-16,71,M,2438 Rayburn HOB; Washington DC 20515-0503,https://garamendi.house.gov/contact-me/email-me,http://garamendi.house.gov,202-225-1880,Democrat,3-Nov-09,3-Jan-17,7,64,CA,California,4,2438 Rayburn House Office Building,rep,Yes,,,
John Hoeven,13-Mar-57,15-Dec-16,59,M,338 Russell Senate Office Building Washington DC 20510,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,https://www.hoeven.senate.gov,202-224-2551,Republican,5-Jan-11,3-Jan-17,5,53,ND,North Dakota,,338 Russell Senate Office Building,sen,,,,
John J. Duncan Jr.,21-Jul-47,15-Dec-16,69,M,2207 Rayburn HOB; Washington DC 20515-4202,https://duncan.house.gov/contact-me/email-me,http://duncan.house.gov,202-225-5435,Republican,8-Nov-88,3-Jan-17,28,41,TN,Tennessee,3,2207 Rayburn House Office Building,rep,,,,
John K. Delaney,16-Apr-63,15-Dec-16,53,M,1632 Longworth HOB; Washington DC 20515-2006,https://delaney.house.gov/contact/email-me,http://delaney.house.gov,202-225-2721,Democrat,3-Jan-13,3-Jan-17,3,49,MD,Maryland,7,1632 Longworth House Office Building,rep,Yes,,,
John Katko,9-Nov-62,15-Dec-16,54,M,1123 Longworth HOB; Washington DC 20515-3224,,https://katko.house.gov,202-225-3701,Republican,6-Jan-15,3-Jan-17,1,52,NY,New York,25,1123 Longworth House Office Building,rep,,,,
John Kline,6-Sep-47,15-Dec-16,69,M,2439 Rayburn HOB; Washington DC 20515-2302,http://kline.house.gov/contact/,http://kline.house.gov,202-225-2271,Republican,7-Jan-03,3-Jan-17,13,55,MN,Minnesota,3,2439 Rayburn House Office Building,rep,,,,
John L. Mica,27-Jan-43,15-Dec-16,73,M,2187 Rayburn HOB; Washington DC 20515-0907,https://mica.house.gov/contact-form,http://mica.house.gov,202-225-4035,Republican,5-Jan-93,3-Jan-17,23,49,FL,Florida,8,2187 Rayburn House Office Building,rep,,,,
John Lewis,21-Feb-40,15-Dec-16,76,M,343 Cannon HOB; Washington DC 20515-1005,https://johnlewis.house.gov/contact-me/email-me-zip,http://johnlewis.house.gov,202-225-3801,Democrat,6-Jan-87,3-Jan-17,29,46,GA,Georgia,6,343 Cannon House Office Building,rep,Yes,,,
John McCain,29-Aug-36,15-Dec-16,80,M,218 Russell Senate Office Building Washington DC 20510,http://www.mccain.senate.gov/public/index.cfm/contact-form,http://www.mccain.senate.gov,202-224-2235,Republican,3-Jan-83,3-Jan-17,33,46,AZ,Arizona,,218 Russell Senate Office Building,sen,,,,
John P. Sarbanes,22-May-62,15-Dec-16,54,M,2444 Rayburn HOB; Washington DC 20515-2003,http://sarbanes.house.gov/federal.asp,https://sarbanes.house.gov,202-225-4016,Democrat,4-Jan-07,3-Jan-17,9,44,MD,Maryland,4,2444 Rayburn House Office Building,rep,Yes,,,
John R. Carter,6-Nov-41,15-Dec-16,75,M,2110 Rayburn HOB; Washington DC 20515-4331,https://carter.house.gov/email-john2,http://carter.house.gov,202-225-3864,Republican,7-Jan-03,3-Jan-17,13,61,TX,Texas,32,2110 Rayburn House Office Building,rep,,,,
John R. Moolenaar,8-May-61,15-Dec-16,55,M,117 Cannon HOB; Washington DC 20515-2204,,https://moolenaar.house.gov,202-225-3561,Republican,6-Jan-15,3-Jan-17,1,53,MI,Michigan,5,117 Cannon House Office Building,rep,,,,
John Ratcliffe,20-Oct-65,15-Dec-16,51,M,325 Cannon HOB; Washington DC 20515-4304,,https://ratcliffe.house.gov,202-225-6673,Republican,6-Jan-15,3-Jan-17,1,49,TX,Texas,5,325 Cannon House Office Building,rep,,,,
John Shimkus,21-Feb-58,15-Dec-16,58,M,2217 Rayburn HOB; Washington DC 20515-1315,https://shimkus.house.gov/contact/email-me,http://shimkus.house.gov,202-225-5271,Republican,7-Jan-97,3-Jan-17,19,38,IL,Illinois,16,2217 Rayburn House Office Building,rep,,,,
John Thune,7-Jan-61,15-Dec-16,55,M,511 Dirksen Senate Office Building Washington DC 20510,http://www.thune.senate.gov/public/index.cfm/contact,http://www.thune.senate.gov,202-224-2321,Republican,7-Jan-97,3-Jan-17,19,36,SD,South Dakota,,511 Dirksen Senate Office Building,sen,,,,
Johnny Isakson,28-Dec-44,15-Dec-16,71,M,131 Russell Senate Office Building Washington DC 20510,http://www.isakson.senate.gov/public/index.cfm/email-me,http://www.isakson.senate.gov,202-224-3643,Republican,6-Jan-99,3-Jan-17,17,54,GA,Georgia,,131 Russell Senate Office Building,sen,,,,
Jon Tester,21-Aug-56,15-Dec-16,60,M,311 Hart Senate Office Building Washington DC 20510,http://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov,202-224-2644,Democrat,4-Jan-07,3-Jan-19,9,50,MT,Montana,,311 Hart Senate Office Building,sen,Yes,,,
Joni Ernst,1-Jul-70,15-Dec-16,46,F,111 Russell Senate Office Building Washington DC 20510,,http://www.ernst.senate.gov,202-224-3254,Republican,6-Jan-15,3-Jan-21,1,44,IA,Iowa,,111 Russell Senate Office Building,sen,,,,
Joseph Crowley,16-Mar-62,15-Dec-16,54,M,1436 Longworth HOB; Washington DC 20515-3214,https://crowley.house.gov/contact-me/email-me,http://crowley.house.gov,202-225-3965,Democrat,6-Jan-99,3-Jan-17,17,36,NY,New York,15,1436 Longworth House Office Building,rep,Yes,,,
Joseph J. Heck,30-Oct-61,15-Dec-16,55,M,132 Cannon HOB; Washington DC 20515-2803,https://heck.house.gov/contact-me,https://heck.house.gov,202-225-3252,Republican,5-Jan-11,3-Jan-17,5,49,NV,Nevada,4,132 Cannon House Office Building,rep,,,,
Joseph P. Kennedy III,4-Oct-80,15-Dec-16,36,M,306 Cannon HOB; Washington DC 20515-2104,https://kennedy.house.gov/contact/email-me,http://kennedy.house.gov,202-225-5931,Democrat,3-Jan-13,3-Jan-17,3,32,MA,Massachusetts,5,306 Cannon House Office Building,rep,Yes,,,
Joseph R. Pitts,10-Oct-39,15-Dec-16,77,M,420 Cannon HOB; Washington DC 20515-3816,https://pitts.house.gov/contact-me/legislative-contact-form,http://pitts.house.gov,202-225-2411,Republican,7-Jan-97,3-Jan-17,19,57,PA,Pennsylvania,17,420 Cannon House Office Building,rep,,,,
Josí€Œ© E. Serrano,24-Oct-43,15-Dec-16,73,M,2227 Rayburn HOB; Washington DC 20515-3215,https://serrano.house.gov/contact-me/email-me,http://serrano.house.gov,202-225-4361,Democrat,3-Jan-89,3-Jan-17,27,45,NY,New York,16,2227 Rayburn House Office Building,rep,Yes,,,
Joyce Beatty,12-Mar-50,15-Dec-16,66,F,133 Cannon HOB; Washington DC 20515-3503,https://beattyforms.house.gov/forms/writeyourrep/,http://beatty.house.gov,202-225-4324,Democrat,3-Jan-13,3-Jan-17,3,62,OH,Ohio,4,133 Cannon House Office Building,rep,Yes,,,
Juan Vargas,7-Mar-61,15-Dec-16,55,M,1605 Longworth HOB; Washington DC 20515-0551,https://vargas.house.gov/contact,http://vargas.house.gov,202-225-8045,Democrat,3-Jan-13,3-Jan-17,3,51,CA,California,52,1605 Longworth House Office Building,rep,Yes,,,
Judy Chu,7-Jul-53,15-Dec-16,63,F,2423 Rayburn HOB; Washington DC 20515-0527,http://chu.house.gov/connect-with-me/email-judy,http://chu.house.gov,202-225-5464,Democrat,16-Jul-09,3-Jan-17,7,56,CA,California,28,2423 Rayburn House Office Building,rep,Yes,,,
Julia Brownley,28-Aug-52,15-Dec-16,64,F,1019 Longworth HOB; Washington DC 20515-0526,https://juliabrownley.house.gov/contact/email-me,http://juliabrownley.house.gov,202-225-5811,Democrat,3-Jan-13,3-Jan-17,3,60,CA,California,27,1019 Longworth House Office Building,rep,Yes,,,
Justin Amash,18-Apr-80,15-Dec-16,36,M,114 Cannon HOB; Washington DC 20515-2203,https://amash.house.gov/contact-me/email-me,http://amash.house.gov,202-225-3831,Republican,5-Jan-11,3-Jan-17,5,30,MI,Michigan,4,114 Cannon House Office Building,rep,,,,
K. Michael Conaway,11-Jun-48,15-Dec-16,68,M,2430 Rayburn HOB; Washington DC 20515-4311,https://conaway.house.gov/forms/writeyourrep/default.aspx,http://conaway.house.gov,202-225-3605,Republican,4-Jan-05,3-Jan-17,11,56,TX,Texas,12,2430 Rayburn House Office Building,rep,,,,
Karen Bass,3-Oct-53,15-Dec-16,63,F,408 Cannon HOB; Washington DC 20515-0537,https://bass.house.gov/contact-me/email-me,http://bass.house.gov,202-225-7084,Democrat,5-Jan-11,3-Jan-17,5,57,CA,California,38,408 Cannon House Office Building,rep,Yes,,,
Katherine M. Clark,17-Jul-63,15-Dec-16,53,F,1721 Longworth HOB; Washington DC 20515-2105,https://katherineclark.house.gov/index.cfm/email-me,https://katherineclark.house.gov,202-225-2836,Democrat,12-Dec-13,3-Jan-17,3,50,MA,Massachusetts,6,1721 Longworth House Office Building,rep,Yes,,,
Kathleen M. Rice,15-Feb-65,15-Dec-16,51,F,1508 Longworth HOB; Washington DC 20515-3204,,http://kathleenrice.house.gov,202-225-5516,Democrat,6-Jan-15,3-Jan-17,1,49,NY,New York,5,1508 Longworth House Office Building,rep,Yes,,,
Kathy Castor,20-Aug-66,15-Dec-16,50,F,205 Cannon HOB; Washington DC 20515-0914,https://castor.house.gov/contact/contactform.htm,http://castor.house.gov,202-225-3376,Democrat,4-Jan-07,3-Jan-17,9,40,FL,Florida,15,205 Cannon House Office Building,rep,Yes,,,
